procedure,site,n,mae_mg_week,rmse_mg_week,r2,pw20,suppressed_n_lt_30
pharmacogenomic_ml,14,300,12.500622742021887,18.64574065861051,0.2683411116960559,0.4166666666666667,False
pharmacogenomic_ml,15,315,13.150980746672065,23.967418640632186,0.11488436599565177,0.4126984126984127,False
pharmacogenomic_ml,16,92,10.730860723550505,13.747078985595556,0.24397553817598694,0.30434782608695654,False
pharmacogenomic_ml,17,217,10.446325266818617,12.371998253789013,0.056838554373453753,0.35944700460829493,False
pharmacogenomic_ml,18,266,11.43902418571484,13.992972246954462,-0.05408709939881273,0.3007518796992481,False
pharmacogenomic_ml,19,203,10.108998168917227,13.057444550711242,0.11923004694730732,0.39408866995073893,False
pharmacogenomic_ml,20,110,12.676612535832572,16.6362765224809,0.20370394769549904,0.39090909090909093,False
pharmacogenomic_ml,21,287,10.112554496139175,13.360349240124668,0.21017731953530872,0.44947735191637633,False
training_mean,1,430,12.04371643672662,17.053001957830485,-0.07156272209182934,0.3627906976744186,False
training_mean,2,126,12.299001586904252,16.15059078715094,-0.0666248779694667,0.3333333333333333,False
training_mean,3,828,15.010022892810785,16.600106418107984,-2.1488217726552077,0.14855072463768115,False
training_mean,4,206,12.507083527622916,14.247888063877353,-1.0961861757252955,0.24271844660194175,False
training_mean,5,350,12.283929520403921,17.01749415658028,-0.16827244367360494,0.3485714285714286,False
training_mean,6,280,12.743272427105076,15.115460124946026,-0.16079498607188847,0.29285714285714287,False
training_mean,7,436,11.037873333341366,14.575756729508962,-0.021120357012155866,0.3532110091743119,False
training_mean,8,259,7.154415182689765,8.768615360428942,-0.11219454146286822,0.5405405405405406,False
training_mean,9,213,11.075442875157732,14.030718503332281,-7.565287308852753e-05,0.3380281690140845,False
training_mean,10,146,14.016510414040505,19.88045571208652,-0.08082273073654345,0.3287671232876712,False
training_mean,11,115,17.32364051257686,22.828084204203222,-0.6170527443054312,0.2956521739130435,False
training_mean,12,168,11.203869047619047,15.114317699805913,-0.024940337175762384,0.39880952380952384,False
training_mean,13,63,16.56071599672457,18.283376857376503,-0.3132673387279008,0.15873015873015872,False
training_mean,14,300,15.622051691014779,23.699744281152064,-0.1820523048165501,0.30333333333333334,False
training_mean,15,315,15.715986473920168,26.73668799297777,-0.10147007930791241,0.326984126984127,False
training_mean,16,92,11.83352572414096,15.950490836920636,-0.01780152121393641,0.41304347826086957,False
training_mean,17,217,9.929195419530938,12.757649169121674,-0.002876949502254922,0.41935483870967744,False
training_mean,18,266,11.005184821685656,14.053948919392802,-0.0632938306739157,0.3233082706766917,False
training_mean,19,203,10.728940461074004,13.9808022567683,-0.009741709966911483,0.39901477832512317,False
training_mean,20,110,14.807358963835465,20.388238935513904,-0.19597397950572626,0.2818181818181818,False
training_mean,21,287,11.806462138549417,15.833801687368762,-0.1093392563865958,0.3554006968641115,False
training_median,1,430,12.44186046511628,17.941377406871915,-0.18611685345572848,0.3697674418604651,False
training_median,2,126,12.962777777777777,17.13030955807733,-0.1999559520953491,0.30158730158730157,False
training_median,3,828,12.439021739130435,14.110697200460782,-1.275219390595904,0.14009661835748793,False
training_median,4,206,10.02766990291262,11.99635660709785,-0.4860300715419652,0.28640776699029125,False
training_median,5,350,13.106228571428572,18.180455376977932,-0.33340606697959885,0.34285714285714286,False
training_median,6,280,11.727750000000002,14.214286914931751,-0.026509409070117895,0.25357142857142856,False
training_median,7,436,11.23566513761468,15.258941392874956,-0.1190861522192943,0.3532110091743119,False
training_median,8,259,6.4584942084942085,8.324137461549062,-0.0022987900667967853,0.5057915057915058,False
training_median,9,213,10.869718309859154,14.33350051764055,-0.04370451992562563,0.39436619718309857,False
training_median,10,146,14.592123287671232,20.862267620610485,-0.19021336722834747,0.3561643835616438,False
