procedure,subgroup,n,mae_mg_week,rmse_mg_week,r2,pw20,suppressed_n_lt_30,subgroup_type
clinical_ml,Missing,115,11.871064540487206,16.539255074913452,0.18399968800702782,0.34782608695652173,False,cyp2c9_availability
fixed_35_mg_week,Available,5295,13.208725779397046,17.24280952938189,-0.05654674684121752,0.29745042492917845,False,cyp2c9_availability
fixed_35_mg_week,Missing,115,14.239565217391304,18.433605205427536,-0.013628932715598507,0.2608695652173913,False,cyp2c9_availability
iwpc_clinical,Available,4234,9.964480609388938,14.546063713759004,0.27322418041103114,0.3948984411903637,False,cyp2c9_availability
iwpc_clinical,Missing,68,12.008075124942636,16.187285631543254,0.21275088715184798,0.3235294117647059,False,cyp2c9_availability
iwpc_pharmacogenetic,Available,4234,8.594603786534952,12.907687897000745,0.42772284414240913,0.45299952763344353,False,cyp2c9_availability
iwpc_pharmacogenetic,Missing,68,12.03435172523939,16.48428489908053,0.1835974671358679,0.4117647058823529,False,cyp2c9_availability
pharmacogenomic_ml,Available,5295,9.523934210742581,13.556972648891222,0.34687231197503887,0.41152030217186025,False,cyp2c9_availability
pharmacogenomic_ml,Missing,115,11.910201342179654,16.295476269500885,0.20787713262060703,0.3565217391304348,False,cyp2c9_availability
training_mean,Available,5295,12.657772134408294,17.097037532029827,-0.03875800974791899,0.31879131255901794,False,cyp2c9_availability
training_mean,Missing,115,13.649458523229137,18.486800211186694,-0.019487558466009025,0.30434782608695654,False,cyp2c9_availability
training_median,Available,5295,12.312174315752099,17.21773190622882,-0.05347573759512647,0.32615675165250235,False,cyp2c9_availability
training_median,Missing,115,13.426695652173912,18.94394640029873,-0.07053124443695702,0.3565217391304348,False,cyp2c9_availability
clinical_ml,Normal,3971,11.929569902982463,16.46109349918954,0.11299349039571305,0.34147569881641904,False,cyp2c9_group
clinical_ml,One decreased,1179,10.315579460216952,13.148617921150361,0.08011010265765539,0.3460559796437659,False,cyp2c9_group
clinical_ml,Other observed,9,,,,,True,cyp2c9_group
clinical_ml,Two decreased,136,14.668108606133915,17.227528188953077,-0.8900401272310892,0.20588235294117646,False,cyp2c9_group
clinical_ml,Unknown,115,11.871064540487206,16.539255074913452,0.18399968800702782,0.34782608695652173,False,cyp2c9_group
